WARNING: MemModel.v:34: $readmemh(ALU_TEST_inst.hex): Not enough words in the file for the requested range [0:4095].
VCD info: dumpfile myfile.dmp opened for output.
Memory access at time 6166: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 6182: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 6198: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 6214: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 6230: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 6246: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 6262: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 6278: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 6294: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 6310: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 6326: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 6342: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 6358: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 6374: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 6390: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 6406: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 6422: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 6438: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 6454: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 6470: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 6486: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 6502: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 6518: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 6534: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
